1|1|26
1|2|12
1|3|13
1|4|25
1|5|24
1|6|11
1|7|26
1|8|14
1|9|13
1|10|25
1|11|5
1|12|12
2|1|20
2|2|9
2|3|12
2|4|6
2|5|8
2|6|24
2|7|16
2|8|17
2|9|22
2|10|2
2|11|3
2|12|23
3|1|28
3|2|15
3|3|11
3|4|17
3|5|10
3|6|13
3|7|4
3|8|6
3|9|27
3|10|12
3|11|29
3|12|19
4|1|19
4|2|29
4|3|12
4|4|27
4|5|6
4|6|4
4|7|13
4|8|10
4|9|17
4|10|11
4|11|15
4|12|28
5|1|15
5|2|14
5|3|13
5|4|12
5|5|8
5|6|18
5|7|20
5|8|10
5|9|21
5|10|22
5|11|7
5|12|5
6|1|19
6|2|28
6|3|25
6|4|23
6|5|29
6|6|28
6|7|14
6|8|21
6|9|2
6|10|15
6|11|11
6|12|6
7|1|10
7|2|4
7|3|7
7|4|9
7|5|12
7|6|16
7|7|3
7|8|18
7|9|28
7|10|14
7|11|13
7|12|15
8|1|14
8|2|13
8|3|12
8|4|11
8|5|24
8|6|23
8|7|22
8|8|21
8|9|10
8|10|20
8|11|18
8|12|8
9|1|8
9|2|18
9|3|20
9|4|10
9|5|21
9|6|22
9|7|23
9|8|24
9|9|11
9|10|12
9|11|13
9|12|14
