1|1|1|5
2|1|2|1
3|2|1|1
4|2|2|1
5|3|1|1
6|3|2|1
7|4|1|1
8|4|2|2
9|5|1|1
10|5|2|1
11|6|1|1
12|6|2|1
13|7|1|1
14|7|2|1
15|8|1|2
16|8|2|1
17|9|1|1
18|9|2|1
19|10|1|1
20|10|2|1
21|11|1|1
22|11|2|2
23|12|1|1
24|12|2|1
25|13|1|1
26|13|2|1
27|14|1|1
28|14|2|1
29|15|1|2
30|15|2|1
31|16|1|1
32|16|2|1
33|17|1|1
34|17|2|1
35|18|1|1
36|18|2|2
37|19|1|1
38|19|2|1
39|20|1|1
40|20|2|1
41|21|1|1
42|21|2|1
43|22|1|2
44|22|2|1
45|23|1|1
46|23|2|1
47|24|1|1
48|24|2|1
49|25|1|1
50|25|2|2
51|26|1|1
52|26|2|1
53|27|1|1
54|27|2|1
55|28|1|1
56|28|2|1
57|29|1|2
58|29|2|5
59|30|1|5
60|30|2|5
